,U.S. Caribbean primary productivity
08-2005,0.224729953681656
09-2005,0.245499267437611
10-2005,0.321602456152542
11-2005,0.267706583646483
12-2005,0.235025260668886
01-2006,0.249542991635717
02-2006,0.210477864949889
03-2006,0.219220999262738
04-2006,0.223214186918775
05-2006,0.193482601538154
06-2006,0.203837438060376
07-2006,0.30536929991119
08-2006,0.263840126133274
09-2006,0.277941740653965
10-2006,0.236974682073843
11-2006,0.234997231638222
12-2006,0.232074051694708
01-2007,0.183219360524235
02-2007,0.191206697904128
03-2007,0.186195467829561
04-2007,0.176627088130589
05-2007,0.186437000830742
06-2007,0.241102670785778
07-2007,0.25396568871657
08-2007,0.271735677721333
09-2007,0.237969597991143
10-2007,0.239172967637533
11-2007,0.281884944896231
12-2007,0.281492317128
01-2008,0.221256899931203
02-2008,0.198535120014647
03-2008,0.178591486590969
04-2008,0.183849806362345
05-2008,0.191327315662072
06-2008,0.255516732975133
07-2008,0.230417425740363
08-2008,0.215454254096889
09-2008,0.308898214092082
10-2008,0.271865551047471
11-2008,0.228790870162066
12-2008,0.217787210996449
01-2009,0.187155190392174
02-2009,0.186316338794405
03-2009,0.184908921844
04-2009,0.273227540924269
05-2009,0.440589483390365
06-2009,0.394830295871269
07-2009,0.246500003928794
08-2009,0.224565410098441
09-2009,0.242840439393886
10-2009,0.258245573893872
11-2009,0.286184839182504
12-2009,0.264130648668886
01-2010,0.273003396707187
02-2010,0.203293868401421
03-2010,0.178305969126493
04-2010,0.183511786191451
05-2010,0.231267628350823
06-2010,0.228619723311861
07-2010,0.441422987792688
08-2010,0.392917233392905
09-2010,0.323813995735673
10-2010,0.290973874652697
11-2010,0.349940587987995
12-2010,0.30972465337766
01-2011,0.223365687153641
02-2011,0.199065054905987
03-2011,0.169824577937196
04-2011,0.16193373127652
05-2011,0.243250915947556
06-2011,0.248744278703968
07-2011,0.245047133857589
08-2011,0.271116851340142
09-2011,0.266634778145898
10-2011,0.240969438709907
11-2011,0.268894973571747
12-2011,0.273295052243243
01-2012,0.236575130749002
02-2012,0.194851464480906
03-2012,0.187594527683089
04-2012,0.142387665050792
05-2012,0.1472000468723
06-2012,0.143523645989202
07-2012,0.165361118978653
08-2012,0.236445177540913
09-2012,0.206129289466389
10-2012,0.286633037204024
11-2012,0.198973110103561
12-2012,0.187401829152256
01-2013,0.191079982035564
02-2013,0.142289935408732
03-2013,0.128756046545708
04-2013,0.139654828862262
05-2013,0.149387694895409
06-2013,0.175988537620072
07-2013,0.21171453632371
08-2013,0.238477281727704
09-2013,0.221759922806012
10-2013,0.196984098139524
11-2013,0.244471735490113
12-2013,0.23565390148232
01-2014,0.202967517372953
02-2014,0.153109879728877
03-2014,0.12433052924213
04-2014,0.121741401267474
05-2014,0.15427821188175
06-2014,0.14935877064681
07-2014,0.159303334111533
08-2014,0.194564430162188
09-2014,0.170796504679122
10-2014,0.198771462869545
11-2014,0.210149729335517
12-2014,0.184281218841218
01-2015,0.164969335602727
02-2015,0.160482724215824
03-2015,0.137667659548938
04-2015,0.118910261972685
05-2015,0.148708717848978
06-2015,0.177867986694565
07-2015,0.233083009841829
08-2015,0.213450960097001
09-2015,0.179044321901395
10-2015,0.195404585520765
11-2015,0.191208315530969
12-2015,0.196302322712406
01-2016,0.186087080685661
02-2016,0.148689508648183
03-2016,0.125795091861007
04-2016,0.123946950812268
05-2016,0.182816206380565
06-2016,0.162635090376744
07-2016,0.185167682481636
08-2016,0.193800312189527
09-2016,0.175040905618609
10-2016,0.222936436538071
11-2016,0.238294154831647
12-2016,0.207927505451539
01-2017,0.20698135695417
02-2017,0.149315126958219
03-2017,0.1377189120983
04-2017,0.140868059830267
05-2017,0.147778445749538
06-2017,0.172731071573216
07-2017,0.281347521025
08-2017,0.370427559935708
09-2017,0.344230461675313
10-2017,0.29310696834069
11-2017,0.241599578548209
12-2017,0.207371025843893
01-2018,0.189073675575506
02-2018,0.188872493060773
03-2018,0.190361481152254
04-2018,0.141623798965009
05-2018,0.189488987529682
06-2018,0.266546038242313
07-2018,0.250196915178095
08-2018,0.190502946094824
09-2018,0.260710297182776
10-2018,0.290241459631219
11-2018,0.278847845923532
12-2018,0.210981195763314
01-2019,0.171286306350318
02-2019,0.145277968911953
03-2019,0.127000028530082
04-2019,0.123892290651397
05-2019,0.15153796266069
06-2019,0.174575290754708
07-2019,0.244036207075653
08-2019,0.195537962146924
09-2019,0.183125630580957
10-2019,0.199998889312015
11-2019,0.211067427388155
12-2019,0.217284960643443
01-2020,0.187292288746807
02-2020,0.15079070559808
03-2020,0.145101305314273
04-2020,0.119052363778952
05-2020,0.143709495289788
06-2020,0.167454327269478
07-2020,0.174555274310202
08-2020,0.188010057025229
09-2020,0.162929589264273
10-2020,0.181487261350709
11-2020,0.20252209384355
12-2020,0.188198132156093
01-2021,0.171572183943759
02-2021,0.161192117869904
03-2021,0.130442850415525
04-2021,0.132378776896822
05-2021,0.172594489333333
06-2021,0.443148577595402
07-2021,0.382703156659007
08-2021,0.300005873440147
09-2021,0.227841544267735
10-2021,0.273272144199267
11-2021,0.26330585296082
12-2021,0.224717217323274
01-2022,0.179764915191606
02-2022,0.169919020609667
03-2022,0.135966652147368
04-2022,0.125667617195122
05-2022,0.158807991074483
06-2022,0.176276821854587
07-2022,0.205650925931954
08-2022,0.207925661521399
09-2022,0.280195785729358
10-2022,0.223741938925503
11-2022,0.269390104382474
12-2022,0.235411326548769
01-2023,0.195728828495203
02-2023,0.170703875587403
03-2023,0.144894685780922
04-2023,0.167208124699632
05-2023,0.167873835602689
06-2023,0.17719782707978
07-2023,0.233977005628743
08-2023,0.203436731204775
09-2023,0.184070498452632
10-2023,0.159748606853089
11-2023,0.175131522223901
12-2023,0.173897855937015
01-2024,0.157437245796618
02-2024,0.156813576733181
03-2024,0.120658426630783
04-2024,0.138511694610701
05-2024,0.234200489318266
06-2024,0.186473218835028
07-2024,0.18994827623494
08-2024,0.187676328222581
09-2024,0.185696583849265
10-2024,0.192281690498626
11-2024,0.288571800224415
12-2024,0.198848288581619
